Simulation Iteration Time Var1 Var2
7.00000 11.0000 0.426517 1005.00 28.0000
8.00000 11.0000 0.494861 1007.00 28.0000
9.00000 11.0000 0.471247 1007.00 28.0000
10.0000 11.0000 0.481127 1007.00 28.0000
1.00000 12.0000 0.500552 1009.00 27.0000
2.00000 12.0000 0.433376 1008.00 27.0000
3.00000 12.0000 0.615039 1009.00 27.0000
4.00000 12.0000 0.423606 1009.00 28.0000
5.00000 12.0000 0.603547 1007.00 27.0000
6.00000 12.0000 0.476865 1007.00 27.0000
7.00000 12.0000 0.474853 1005.00 27.0000
8.00000 12.0000 0.496498 1007.00 27.0000
9.00000 12.0000 0.472990 1008.00 27.0000
10.0000 12.0000 0.497918 1008.00 27.0000
1.00000 13.0000 0.504759 1010.00 26.0000
2.00000 13.0000 0.440219 1009.00 27.0000
3.00000 13.0000 0.636520 1009.00 26.0000
4.00000 13.0000 0.426294 1009.00 27.0000
5.00000 13.0000 0.639552 1008.00 26.0000
6.00000 13.0000 0.506875 1008.00 26.0000
7.00000 13.0000 0.534230 1006.00 26.0000
8.00000 13.0000 0.554119 1008.00 26.0000
9.00000 13.0000 0.686076 1008.00 26.0000
10.0000 13.0000 0.535379 1009.00 26.0000
1.00000 14.0000 0.520373 1010.00 25.0000
2.00000 14.0000 0.548480 1009.00 26.0000
3.00000 14.0000 0.688791 1009.00 25.0000
4.00000 14.0000 0.507570 1010.00 26.0000
5.00000 14.0000 0.800521 1009.00 25.0000
6.00000 14.0000 0.559245 1009.00 25.0000
7.00000 14.0000 0.688788 1007.00 25.0000
8.00000 14.0000 0.638203 1008.00 25.0000
9.00000 14.0000 0.850389 1008.00 25.0000
10.0000 14.0000 0.557989 1010.00 25.0000
1.00000 15.0000 0.534615 1010.00 24.0000
2.00000 15.0000 0.812068 1010.00 25.0000
3.00000 15.0000 0.703448 1010.00 24.0000
4.00000 15.0000 0.525403 1010.00 25.0000
5.00000 15.0000 0.827633 1009.00 24.0000
6.00000 15.0000 0.602223 1010.00 24.0000
7.00000 15.0000 0.797627 1008.00 24.0000
8.00000 15.0000 0.920106 1008.00 24.0000
9.00000 15.0000 0.896950 1008.00 24.0000
10.0000 15.0000 0.599592 1011.00 24.0000
