Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 1000.00 40.0000
2.00000 0.00000 0.00000 1000.00 40.0000
3.00000 0.00000 0.00000 1000.00 40.0000
4.00000 0.00000 0.00000 1000.00 40.0000
5.00000 0.00000 0.00000 1000.00 40.0000
6.00000 0.00000 0.00000 1000.00 40.0000
7.00000 0.00000 0.00000 1000.00 40.0000
8.00000 0.00000 0.00000 1000.00 40.0000
9.00000 0.00000 0.00000 1000.00 40.0000
10.0000 0.00000 0.00000 1000.00 40.0000
1.00000 1.00000 0.0507381 1002.00 38.0000
2.00000 1.00000 0.0228053 1002.00 38.0000
3.00000 1.00000 0.0501633 1002.00 38.0000
4.00000 1.00000 0.00483896 1002.00 38.0000
5.00000 1.00000 0.0183464 1000.00 38.0000
6.00000 1.00000 0.127825 1002.00 38.0000
7.00000 1.00000 0.0468826 1001.00 38.0000
8.00000 1.00000 0.0240473 1000.00 38.0000
9.00000 1.00000 0.0693407 1000.00 38.0000
10.0000 1.00000 0.102073 1001.00 38.0000
1.00000 11.0000 0.468805 1009.00 28.0000
2.00000 11.0000 0.411706 1008.00 28.0000
3.00000 11.0000 0.522365 1008.00 28.0000
4.00000 11.0000 0.400366 1009.00 29.0000
5.00000 11.0000 0.542260 1006.00 28.0000
6.00000 11.0000 0.459918 1006.00 28.0000
7.00000 11.0000 0.426517 1005.00 28.0000
8.00000 11.0000 0.494861 1007.00 28.0000
9.00000 11.0000 0.471247 1007.00 28.0000
10.0000 11.0000 0.481127 1007.00 28.0000
1.00000 14.0000 0.520373 1010.00 25.0000
2.00000 14.0000 0.548480 1009.00 26.0000
3.00000 14.0000 0.688791 1009.00 25.0000
4.00000 14.0000 0.507570 1010.00 26.0000
5.00000 14.0000 0.800521 1009.00 25.0000
6.00000 14.0000 0.559245 1009.00 25.0000
7.00000 14.0000 0.688788 1007.00 25.0000
8.00000 14.0000 0.638203 1008.00 25.0000
9.00000 14.0000 0.850389 1008.00 25.0000
10.0000 14.0000 0.557989 1010.00 25.0000
1.00000 15.0000 0.534615 1010.00 24.0000
2.00000 15.0000 0.812068 1010.00 25.0000
3.00000 15.0000 0.703448 1010.00 24.0000
4.00000 15.0000 0.525403 1010.00 25.0000
5.00000 15.0000 0.827633 1009.00 24.0000
6.00000 15.0000 0.602223 1010.00 24.0000
7.00000 15.0000 0.797627 1008.00 24.0000
8.00000 15.0000 0.920106 1008.00 24.0000
9.00000 15.0000 0.896950 1008.00 24.0000
10.0000 15.0000 0.599592 1011.00 24.0000
